mode,unit,threads,trial,throughput
io,tasks,240,1,23996.2
io,tasks,240,2,23996.0
io,tasks,256,0,25595.9
io,tasks,256,1,25595.8
io,tasks,256,2,25595.7
io,tasks,272,0,27195.5
io,tasks,272,1,27195.6
io,tasks,272,2,27195.7
io,tasks,288,0,28795.3
io,tasks,288,1,28795.3
io,tasks,288,2,28795.4
io,tasks,304,0,30394.3
io,tasks,304,1,30395.1
io,tasks,304,2,30394.9
io,tasks,320,0,31995.8
io,tasks,320,1,31997.3
io,tasks,320,2,31994.8
io,tasks,336,0,33522.0
io,tasks,336,1,33593.6
io,tasks,336,2,33594.4
io,tasks,352,0,35193.4
io,tasks,352,1,35194.1
io,tasks,352,2,35193.7
io,tasks,368,0,36793.9
io,tasks,368,1,36794.0
io,tasks,368,2,36794.0
io,tasks,384,0,38318.5
io,tasks,384,1,38393.8
io,tasks,384,2,38393.6
io,tasks,400,0,39993.4
io,tasks,400,1,39991.9
io,tasks,400,2,39992.6
io,tasks,416,0,41503.0
io,tasks,416,1,41593.3
io,tasks,416,2,41593.0
io,tasks,432,0,43071.2
io,tasks,432,1,43193.2
io,tasks,432,2,43192.8
io,tasks,448,0,44792.8
io,tasks,448,1,44792.5
io,tasks,448,2,44792.5
io,tasks,464,0,46392.6
io,tasks,464,1,46392.3
io,tasks,464,2,46017.0
io,tasks,480,0,47992.1
io,tasks,480,1,47992.2
io,tasks,480,2,47992.1
io,tasks,496,0,49591.7
io,tasks,496,1,49591.4
io,tasks,496,2,49592.1
io,tasks,512,0,51191.6
io,tasks,512,1,51191.5
io,tasks,512,2,51192.0
io,tasks,576,0,57590.5
io,tasks,576,1,57590.4
io,tasks,576,2,57590.3
io,tasks,640,0,63990.0
io,tasks,640,1,63993.4
io,tasks,640,2,63349.5
io,tasks,704,0,70388.1
io,tasks,704,1,70387.7
io,tasks,704,2,70388.4
io,tasks,768,0,76787.4
io,tasks,768,1,76787.0
io,tasks,768,2,76787.7
io,tasks,832,0,83186.3
io,tasks,832,1,83187.0
io,tasks,832,2,83186.1
io,tasks,896,0,89585.0
io,tasks,896,1,89585.7
io,tasks,896,2,89583.7
io,tasks,960,0,95984.7
io,tasks,960,1,95985.1
io,tasks,960,2,95983.9
io,tasks,1024,0,102384.0
io,tasks,1024,1,102384.0
io,tasks,1024,2,102383.5
io,tasks,1088,0,108782.7
