mode,unit,threads,trial,throughput
cpu,rows,92,0,126015.6
cpu,rows,92,1,126120.4
cpu,rows,92,2,126258.8
cpu,rows,96,0,126258.6
cpu,rows,96,1,126747.2
cpu,rows,96,2,126057.9
cpu,rows,100,0,126812.4
cpu,rows,100,1,125683.8
cpu,rows,100,2,126429.9
cpu,rows,104,0,126560.5
cpu,rows,104,1,126084.3
cpu,rows,104,2,125875.7
cpu,rows,108,0,127118.5
cpu,rows,108,1,126128.5
cpu,rows,108,2,125806.6
cpu,rows,112,0,126532.6
cpu,rows,112,1,126082.4
cpu,rows,112,2,126256.5
cpu,rows,116,0,126808.5
cpu,rows,116,1,126655.7
cpu,rows,116,2,126010.7
cpu,rows,120,0,126500.9
cpu,rows,120,1,126741.4
cpu,rows,120,2,126315.9
cpu,rows,124,0,127259.8
cpu,rows,124,1,126731.7
cpu,rows,124,2,126679.3
cpu,rows,128,0,127025.2
cpu,rows,128,1,126830.1
cpu,rows,128,2,127127.9
cpu,rows,144,0,127505.0
cpu,rows,144,1,126718.4
cpu,rows,144,2,126525.2
cpu,rows,160,0,126594.6
cpu,rows,160,1,125846.3
cpu,rows,160,2,126546.2
cpu,rows,176,0,126752.3
cpu,rows,176,1,125679.7
cpu,rows,176,2,126858.6
cpu,rows,192,0,126664.2
cpu,rows,192,1,126367.5
cpu,rows,192,2,126806.2
cpu,rows,208,0,126440.2
cpu,rows,208,1,126348.3
cpu,rows,208,2,126640.5
cpu,rows,224,0,126255.7
cpu,rows,224,1,126118.7
cpu,rows,224,2,126338.2
cpu,rows,240,0,126516.4
cpu,rows,240,1,126221.2
cpu,rows,240,2,125528.6
cpu,rows,256,0,126266.2
cpu,rows,256,1,125897.0
cpu,rows,256,2,126545.4
cpu,rows,272,0,126528.9
cpu,rows,272,1,126245.5
cpu,rows,272,2,126733.6
cpu,rows,288,0,125787.1
cpu,rows,288,1,125886.4
cpu,rows,288,2,126170.5
cpu,rows,304,0,126165.1
cpu,rows,304,1,126020.5
cpu,rows,304,2,126176.9
cpu,rows,320,0,127220.5
cpu,rows,320,1,126658.2
cpu,rows,320,2,125611.3
cpu,rows,336,0,123774.2
cpu,rows,336,1,126073.4
cpu,rows,336,2,125767.8
cpu,rows,352,0,126454.1
cpu,rows,352,1,126181.0
cpu,rows,352,2,126790.5
cpu,rows,368,0,126565.6
cpu,rows,368,1,126013.6
cpu,rows,368,2,126679.1
cpu,rows,384,0,126617.0
cpu,rows,384,1,125878.4
cpu,rows,384,2,127034.5
cpu,rows,400,0,126263.1
cpu,rows,400,1,126466.3
cpu,rows,400,2,126995.9
cpu,rows,416,0,126687.3
cpu,rows,416,1,127527.4
cpu,rows,416,2,125276.2
cpu,rows,432,0,126921.9
cpu,rows,432,1,126662.3
cpu,rows,432,2,126674.2
cpu,rows,448,0,126818.5
cpu,rows,448,1,126232.8
cpu,rows,448,2,127253.3
cpu,rows,464,0,127346.9
cpu,rows,464,1,127234.2
cpu,rows,464,2,124746.4
cpu,rows,480,0,127247.9
cpu,rows,480,1,127260.5
cpu,rows,480,2,127486.4
cpu,rows,496,0,126052.1
cpu,rows,496,1,125394.3
cpu,rows,496,2,124716.0
cpu,rows,512,0,126600.5
cpu,rows,512,1,126261.4
cpu,rows,512,2,126646.4
